teacher_id,tbrc_teacher_id,teacher_default_name,teacher_default_name-_lang-encoding,teacher_has_bio,student_id,student_bdrc_id,student_default_name,student_default_name-_lang-encoding,student_has_bio
2069,P10497,Rinchen Dorje,en,YES,12743,P9907,Damcho Wozer,en,YES
2162,P10582,Tashi Namgyel,en,YES,13554,P385,Mikyo Dorje,en,NO
2328,P1079,Chokyi Gyelpo,en,YES,2442,P1182,Sumpa Damcho Gyatso,en,YES
2418,P1160,Ngawang Lobzang,en,YES,276,P00KG09732,Lhagyari Namgyel Gyatso,en,YES
2418,P1160,Ngawang Lobzang,en,YES,13120,P2AG27,Drodul Dorji Tenzin,en,YES
2419,P1161,Dungkar Lobzang Trinle,en,YES,7613,P5110,Dondrub Gyel,en,YES
2419,P1161,Dungkar Lobzang Trinle,en,YES,10386,P7707,brug thar,bo-x-ewts,NO
2483,P1219,Kyoton Monlam Tsultrim,en,YES,8730,P6145,Dromton Zhonnu Lodro,en,YES
2491,P1226,Lama Dampa Sonam Gyeltsen,en,YES,3266,P1932,Barawa Gyeltsen Pelzang,en,YES
2541,P1271,Takla Norbu,en,YES,13685,P2KG228978,rig 'dzin 'ja' lus rdo rje,bo-x-ewts,NO
2661,P1380,Peljor Dondrub,en,YES,1659,P1012,Tashi Peljor,en,YES
2662,P1382,Choying Dorje,en,YES,13838,,Jangchub Nyima,en,YES
2670,P139,Dolpopa Sherab Gyeltsen,en,YES,4086,P2388,Jangchub Tsemo,en,YES
2730,P1445,Karma Shedrub Chokyi Sengge,en,YES,10355,P7679,Kunga Tenpai Nyima,en,YES
2733,P1448,Orgyenpa Rinchen Pel,en,YES,8455,P5894,Kunden Rema,en,YES
2758,P1470,Kelzang Tubten Wangchuk,en,YES,1902,P10343,Kelzang Lodro Kunga Lungtok Gyatso,en,YES
2776,P1487,Karma Pakshi,en,YES,8455,P5894,Kunden Rema,en,YES
2788,P1499,Jigme Trinle Gyatso,en,YES,7882,P5368,Jigme Tsultrim Namgyel,en,YES
2799,P1508,Tropu Gyeltsa Rinchen Gon,en,YES,7373,P4892,Chegompa Sherab Dorje,en,YES
2799,P1508,Tropu Gyeltsa Rinchen Gon,en,YES,13462,P1AG37,Machik Rema,en,YES
2801,P151,Sabzang Mati Paṇchen Lodro Gyeltsen,en,YES,4086,P2388,Jangchub Tsemo,en,YES
2810,P1518,Śākyaśrībhadra,en,YES,6010,P365,Namkha Pel,en,YES
2845,P155,Buton Rinchen Drub,en,YES,3266,P1932,Barawa Gyeltsen Pelzang,en,YES
3152,P183,Shukseb Jetsun Choying Zangmo,en,YES,12479,P966,Tubten Lekshe Gyatso,en,YES
3152,P183,Shukseb Jetsun Choying Zangmo,en,YES,13843,,Tseten Yudron,en,YES
3153,P1830,Gyelse Tokme Zangpo,en,YES,4164,P2460,Nyakpuwa Sonam Zangpo,en,YES
3204,P1877,Zangpo Pel,en,YES,8454,P5893,Kunpang Delek Rinchen,en,YES
3307,P197,Tubten Gyatso,en,YES,2541,P1271,Takla Norbu,en,YES
3307,P197,Tubten Gyatso,en,YES,4310,P2597,Jampa Kunga Tenzin,en,YES
3307,P197,Tubten Gyatso,en,YES,12479,P966,Tubten Lekshe Gyatso,en,YES
3307,P197,Tubten Gyatso,en,YES,13812,,Pelling Ani Wangdzin,en,YES
3307,P197,Tubten Gyatso,en,YES,13823,,Khenpo Lobzang Puntsok,en,YES
3822,P215,Tubten Chokyi Nyima,en,YES,2541,P1271,Takla Norbu,en,YES
3822,P215,Tubten Chokyi Nyima,en,YES,2758,P1470,Kelzang Tubten Wangchuk,en,YES
3822,P215,Tubten Chokyi Nyima,en,YES,7882,P5368,Jigme Tsultrim Namgyel,en,YES
3822,P215,Tubten Chokyi Nyima,en,YES,13510,P1KG4195,Agvan Dorjiev,en,YES
3955,P227,Khyenrab Norbu,en,YES,12439,P9623,Tashi Yangphel Tashigang,en,YES
3955,P227,Khyenrab Norbu,en,YES,13598,P1AG113,Yangchen Lhamo,en,YES
3955,P227,Khyenrab Norbu,en,YES,13693,P4CZ366523,Lobzang Wanggyel,en,YES
3955,P227,Khyenrab Norbu,en,YES,13694,P8LS76437,Tenzin Chodrak,en,YES
3989,P230,Dechen Nyingpo,en,YES,3955,P227,Khyenrab Norbu,en,YES
3989,P230,Dechen Nyingpo,en,YES,8156,P5617,Kachen Lobzang Zotpa,en,YES
